year,spp,experiment,replicate,drainage,stream,block,channel,guppy.phenotype,density,structure,light,guppy.freq,riv.pheno,riv.density,riv.size.structure,treatment,color.combo,initial.fish,analysis.use,analysis.use.old,survival,days,date.marked,date.in,date.out,date.died,died.early,removed.early,initial.length,initial.total.length,initial.mass,recap.mass,final.length,recap.length,dissection.length,recap.total.length,dissection.mass,wet.mass.no.ovary.gi,gi.mass,gi.length,initial.sex,final.sex,pregnant,num.embryos,num.imm.eggs,num.imm.eggs.old,stage,wt.mat,wt.imm,somatic.dry.mass,repro.tissue.dry.mass,embryo.dry.mass,embryo.lean.mass,immature.dry,number.regressors,regressor.dry.mass,somatic.lean.mass,off.mass,off.length,num.broods,initial.comments,final.comments,other.comments,marking.group,marked.by,dissection.mark
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.66,8.66,8.66,NA,0.014,NA,NA,NA,NA,U,NA,NA,NA,NA,NA,,,0.0025,NA,NA,NA,,NA,NA,0.00209,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,8.9,8.9,NA,0.014,NA,NA,NA,NA,U,NA,NA,NA,NA,NA,,,0.0025,NA,NA,NA,,NA,NA,0.00209,NA,NA,NA,NA,ripped in half,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.03,9.03,9.03,NA,0.016,NA,NA,NA,NA,U,NA,NA,NA,NA,NA,,,0.0026,NA,NA,NA,,NA,NA,0.00221,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,NA,0.016,NA,NA,NA,NA,U,NA,NA,NA,NA,NA,,,0.0027,NA,NA,NA,,NA,NA,0.00224,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.14,9.14,9.14,NA,0.016,NA,NA,NA,NA,U,NA,NA,NA,NA,NA,,,0.0028,NA,NA,NA,,NA,NA,0.0023,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.86,8.86,8.86,NA,0.014,NA,NA,NA,NA,U,NA,NA,NA,NA,NA,,,0.0029,NA,NA,NA,,NA,NA,0.00232,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.11,9.11,9.11,NA,0.017,NA,NA,NA,NA,U,NA,NA,NA,NA,NA,,,0.003,NA,NA,NA,,NA,NA,0.00238,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.19,9.19,9.19,NA,0.017,0.014,0.001,7.9,NA,U,NA,NA,NA,NA,NA,,,0.0029,NA,NA,NA,,NA,NA,0.0026,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.22,9.22,9.22,NA,0.018,NA,NA,NA,NA,U,NA,NA,NA,NA,NA,,,0.0031,NA,NA,NA,,NA,NA,0.00265,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.63,9.63,9.63,NA,0.011,0.016,0.001,7.9,NA,U,NA,NA,NA,NA,NA,,,0.0032,NA,NA,NA,,NA,NA,0.00277,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.24,9.24,9.24,NA,0.02,NA,NA,NA,NA,U,NA,NA,NA,NA,NA,,,0.0035,NA,NA,NA,,NA,NA,0.00279,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,9.6,9.6,NA,0.022,NA,NA,NA,NA,U,NA,NA,NA,NA,NA,,,0.0038,NA,NA,NA,,NA,NA,0.00303,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.89,9.89,9.89,NA,0.023,0.018,0.001,8.1,NA,U,NA,NA,NA,NA,NA,,,0.0033,NA,NA,NA,,NA,NA,0.00307,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,31,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.96,9.96,9.96,NA,0.023,NA,NA,NA,NA,U,NA,NA,NA,NA,NA,,,0.0044,NA,NA,NA,,NA,NA,0.00336,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018,8,8,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018,8,8,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,BO-,1,1,1,1,22,25/01/2008,31/01/2008,22/02/2008,NA,NA,NA,11.01,NA,0.031,0.081,14.35,14.35,14.09,NA,0.07,0.061,0.003,13.7,U,F,0,0,NA,NA,NA,,,0.012,NA,NA,NA,,NA,NA,0.01074,NA,NA,1,NA,FIN DAMAMGED,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,BB-,1,1,1,1,22,25/01/2008,31/01/2008,22/02/2008,NA,NA,NA,11.25,NA,0.022,0.104,15.19,15.19,15.95,NA,0.096,0.08,0.006,14.1,U,F,0,0,NA,NA,NA,,,0.017,0.00014,NA,NA,,0,0,0.01447,NA,NA,1,NA,not pregnant,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,BR-,1,1,1,1,22,25/01/2008,31/01/2008,22/02/2008,NA,NA,NA,12.68,NA,0.029,0.122,16.45,16.45,15.49,NA,0.115,0.094,0.009,15.7,U,F,0,0,NA,NA,NA,,,0.0205,0.00037,NA,NA,,0,0,0.01761,NA,NA,1,NA,not pregnant,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,B-O,1,1,1,1,22,25/01/2008,31/01/2008,22/02/2008,NA,NA,NA,13.82,NA,0.043,0.129,15.84,15.84,15.99,NA,0.123,0.102,0.009,17.3,F,F,0,0,NA,NA,NA,,,0.0213,0.00043,NA,NA,,0,0,0.01859,NA,NA,1,NA,not pregnant,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,RR-,1,1,1,1,22,25/01/2008,31/01/2008,22/02/2008,NA,NA,NA,14.39,NA,0.052,0.123,16.19,16.19,16.08,NA,0.118,0.098,0.007,18,F,F,0,0,NA,NA,NA,,,0.0217,0.00078,NA,NA,,0,0,0.01898,NA,NA,1,NA,not pregnant,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,GO-,1,1,1,1,22,25/01/2008,31/01/2008,22/02/2008,NA,NA,NA,14.07,NA,0.052,0.142,15.85,15.85,15.89,NA,0.134,0.112,0.011,17.5,F,F,0,0,NA,NA,NA,,,0.0232,0.00054,NA,NA,,0,0,0.02059,NA,NA,1,NA,"yolking, yellow cysts",NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,O-R,1,1,1,1,22,25/01/2008,31/01/2008,22/02/2008,NA,NA,NA,15.18,NA,0.064,0.167,18.07,18.07,17.3,NA,0.157,0.131,0.015,23.1,F,F,0,0,NA,NA,NA,,,0.0279,0.00089,NA,NA,,0,0,0.02404,NA,NA,1,NA,"yolking, yellow cysts",NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,R-O,1,1,1,1,22,25/01/2008,31/01/2008,22/02/2008,NA,NA,NA,21.43,NA,0.213,0.259,22.02,22.02,21.78,NA,0.247,0.216,0.015,19.5,F,F,0,0,NA,NA,NA,,,0.0468,0.00114,NA,NA,,0,0,0.04265,NA,NA,1,NA,not pregnant,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,O-G,1,1,1,1,22,25/01/2008,31/01/2008,22/02/2008,NA,NA,NA,17.83,NA,0.098,0.197,20.27,20.27,19.5,NA,0.189,0.15,0.016,22.1,F,F,1,5,NA,NA,0,,,0.0326,0.00068,NA,NA,,0,0,0.02884,NA,NA,1,NA,yolking,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,G-R,1,1,1,1,22,25/01/2008,31/01/2008,22/02/2008,NA,NA,NA,19.34,NA,0.137,0.233,20.59,20.59,20.47,NA,0.22,0.178,0.015,21.6,F,F,1,2,NA,NA,28,,,0.0392,0.00055,0.00181,0.00153,,0,0,0.03464,NA,NA,1,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,R-R,1,1,1,1,22,25/01/2008,31/01/2008,22/02/2008,NA,NA,NA,22.07,NA,0.237,0.247,22.86,22.86,21.55,NA,0.24,0.204,0.009,21.1,F,F,1,5,NA,NA,20,,,0.0404,0.0005,0.005,0.00389,,0,0,0.0387,NA,NA,1,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,R-B,1,1,1,1,22,25/01/2008,31/01/2008,22/02/2008,NA,NA,NA,21.4,NA,0.229,0.284,22.09,22.09,22.21,NA,0.274,0.223,0.016,20.8,F,F,1,4,NA,NA,17.5,,,0.0491,0.00092,0.00403,0.0035,,0,0,0.04478,NA,NA,2,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,O-B,1,1,1,1,22,25/01/2008,31/01/2008,22/02/2008,NA,NA,NA,22.31,NA,0.225,0.349,23.17,23.17,23,NA,0.333,0.265,0.032,24.2,F,F,1,18,NA,NA,0,,,0.0532,0.00069,NA,NA,,0,0,0.04929,NA,NA,1,NA,yolking,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,R-G,1,1,1,1,22,25/01/2008,31/01/2008,22/02/2008,NA,NA,NA,23.01,NA,0.288,0.345,23.83,23.83,23.04,NA,0.33,0.265,0.026,25.2,F,F,1,6,NA,NA,1,,,0.0575,0.00081,NA,NA,,0,0,0.05264,NA,NA,2,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,RB-,1,1,1,1,22,25/01/2008,31/01/2008,22/02/2008,NA,NA,NA,11.67,NA,0.025,0.042,13.03,13.03,12.63,NA,0.037,0.033,0.001,6.8,U,I,NA,NA,NA,NA,NA,,,0.0057,NA,NA,NA,,NA,NA,0.00562,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,GR-,1,1,1,1,22,25/01/2008,31/01/2008,22/02/2008,NA,NA,NA,11.26,NA,0.025,0.096,14.75,14.75,14.26,NA,0.086,0.072,0.004,14.6,U,I,NA,NA,NA,NA,NA,,,0.0159,NA,NA,NA,,NA,NA,0.01286,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,RG-,1,1,1,1,22,25/01/2008,31/01/2008,22/02/2008,NA,NA,NA,12.01,NA,0.033,0.107,15.59,15.59,15.21,NA,0.099,0.082,0.007,18.8,U,I,NA,NA,NA,NA,NA,,,0.0171,NA,NA,NA,,NA,NA,0.01454,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,OO-,1,1,1,0,23,25/01/2008,31/01/2008,23/02/2008,23/02/2008,1,NA,18.42,NA,0.126,0.099,18.08,18.08,18.32,NA,0.093,0.076,0.004,7.4,M,M,NA,NA,NA,NA,NA,,,0.0174,NA,NA,NA,,NA,NA,0.01612,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,OB-,1,1,1,1,22,25/01/2008,31/01/2008,22/02/2008,NA,NA,NA,14.86,NA,0.059,0.125,17.09,17.09,16.83,NA,0.121,0.112,0.005,16.2,F,M,NA,NA,NA,NA,NA,,,0.0226,NA,NA,NA,,NA,NA,0.01966,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,G-G,1,1,1,1,22,25/01/2008,31/01/2008,22/02/2008,NA,NA,NA,17.89,NA,0.116,0.132,17.98,17.98,17.25,NA,0.123,0.11,0.001,10.2,M,M,NA,NA,NA,NA,NA,,,0.0218,NA,NA,NA,,NA,NA,0.0208,NA,NA,NA,NA,NA,NA,NA,NA,NA
